Username,Time,Content,Reply Count,Retweet Count,Like Count
James Beattie,2023-06-14T19:16:24.000Z,"Nope but if it ranks it doesn't really matter if better content is buried.

The plagiarism sucks but currently, google & chatGPT are plagiarising the work of others and getting away with it. Until something happens at the top level it's going to continue from others.",1,0,0
Tower of Rabble,2023-06-14T18:06:35.000Z,"I got left alone with nothing to do for 2 hours at work, I’m really enjoying coding with ChatGPT, thinking about getting premium.  Is there something better that’s free?",1,0,4
Dorothy Roberts,2023-06-14T17:56:20.000Z,"Not surprising that ChatGPT generated more ethical answers to the social work licensing exam than the “correct”ones. But ANY test to qualify for a system that polices families will be unethical by its very purpose. We need abolition, not a better exam.",1,30,95
Wild Fig Marketing,2023-06-14T15:59:31.000Z,"The idea behind these AI tools—especially writing apps like ChatGPT—is to help people do their jobs better and faster. They have the potential to completely revolutionize the way we think, work, and create. 
Read more  https://bit.ly/40xNaeD

#AI #ContentMarketing",0,0,0
Josh ✱,2023-06-14T14:40:01.000Z,"The ethics around using AI writing tools are still wonky. 

Hired a writer to write about AI tooling and they all assured me they didn’t use ChatGPT to complete the work. 

Why?

I just assumed they would.

I want writers to use tools that get better writing out faster.",0,0,0
Ahmed,2023-06-14T13:39:16.000Z,"same with Bing chatGPT.  Now, I can do more work. Last week, I completed an entire website (both backend and frontend) in just one and a half days. Without it, it would have taken around four days.  Not to mention, the quality of work is also better.",0,0,0
Bun E. Brewster :: http://mastodon.social/@njrabit,2023-06-14T12:15:22.000Z,"Hmm, seeing new models pop up that are trained on ChatGPT including a brand new one from Microsoft, and they seem to be continually performing better.

And models don't collapse. Once trained they work forever.",3,0,1
Filthy Fox,2023-06-12T17:17:06.000Z,"My job just issued a cyber security training on AI programs, mainly ChatGPT . Y’all better do your own work!",2,1,3
PricePlow,2023-06-12T17:07:46.000Z,"Yeah there's no doubt that ChatGPT is great with code.

As a bonus - have it help you tweak recipes when cooking. It will make some great stuff and work with you on dietary restrictions better than Googling ever can",0,0,1
FlexJobs,2023-06-12T15:49:14.000Z,"Conducted between 5/3 & 5/21/23, FlexJobs’ survey polled over 5,600 U.S.-based men and women about their experiences with artificial intelligence and tools like ChatGPT to better understand their perspectives on how AI is impacting their careers and the larger work landscape.",1,0,0
Alex Zub,2023-06-12T15:26:37.000Z,"A mid-level developer that knows how to leverage ChatGPT well might be better for a business than a senior one that doesn't.

I'm convinced that modern interview process for any tech role should include an assessment of how well the candidate can use AI for work.",0,0,0
ANKIT HOODA.,2023-06-12T14:54:56.000Z,"All Tools are very bad for using . 
Try new and launch a better service product
Please Work on BARD .Google Bard really very slow AI Tools.
Once i try Chat GPT and Bard,almost i completed 10 search""s in both plateform really to hard say chat GPT completely work better than Bard",0,0,0
Kara Clayton (She/Her),2023-06-12T14:26:32.000Z,"I tried out #ChatGPT. I had it look up a recipe for Pastry Cream. My recipe is much better so I didn't use the Chat GPT version. I also had it write and revise a letter of recommendation for a student. It's a generic writer. You still need to do the work, but it's time saving!",1,0,3
ChatGPT,2023-06-11T23:51:24.000Z,"Newton: Greetings, Mr. Einstein. I have heard of your theory of general relativity, which claims to be a better description of gravitation than my law of universal gravitation. What is the basis of your theory?

Einstein: Hello, Sir Isaac. I admire your work and achievements in… Show more",0,0,1
ShavedTomato,2023-06-11T22:35:11.000Z,"I feel like there's  irony in complaining about the slippery slope of using AI in Art, and then stealing someone else's post like an Art AI stealing people's work. Should have used ChatGPT to write a better excuse.",0,0,1
Fr. Jabriel,2023-06-11T20:08:13.000Z,"By utilizing these procedures, I would aim to bring the issue of reparations for Black Americans to the forefront, initiate a meaningful dialogue, and work towards achieving justice and redress for historical injustices.” 

Maybe #BlackPeople wld be better off voting for #ChatGPT",0,0,0
Ibeh Joy,2023-06-11T18:27:09.000Z,"This week was stressful but I learnt alot about, team work and communication. I was able to understand git branch,git merge better and how to rectify conflict both in git editor and visual studio, research more, chatgpt became my best friend in times or error,I cannot interpret.",0,0,0
Iain MacLaren @iainmacl@mastodon.ie,2023-06-11T18:20:26.000Z,"Sure, you can use ChatGPT to come up with ideas for teaching your classes. But, you know what? You could come up with a lot better ideas yourself if you do a PgCert/PgCAP and you'd even know on whose work you'd be basing it.",0,7,23
WinAI || Product Innovation for better life,2023-06-11T13:08:08.000Z,"Short, simple way to apply AI in daily work and product result.

Get the ebook: Guidelines for Utilizing ChatGPT and AI Tools for Daily Work for free on  
@Gumroad",0,0,1
Tim Hannigan | @timhannigan@mastodon.social,2023-06-10T20:06:57.000Z,"ChatGPT has some promising affordances for work, but it is imperative that people better understand how to use it as an engine in practice",0,1,4
Ninad Pathak - 3/100,2023-06-10T17:33:15.000Z," Web Requests

ChatGPT browsing is slow, buggy, and most of the time, just doesn't work (what's with the click failed ). 

Web Requests takes a better approach. It sends API requests instead of simulating clicks, giving you 10x quicker results.",2,0,1
Mukesh Devrari,2023-06-10T20:00:31.000Z,"Indians who work in US make US a better place. Once the 1st gen immigrant is dead, all physical connection of his family with India also ends. India needs to develop it's own chat gpt. China created parallel IT universe, while Indians are only IT labourers.",0,0,1
★ Woka ★,2023-06-10T15:25:24.000Z,Fools. The point of IAs is that they are tools for us to use to be able to work in a better way. Chat GPT is an amazing tool when you use it correctly,0,0,3
アーケットシスターズ,2023-06-10T14:48:23.000Z,"I have used ChatGPT a fair amount for work and fun.  I have asked it to write on subjects that I know well and it falls way short.  However, its real power is translation which for Japanese to English does 10x better than Google Translate.",0,0,2
Atish Home Chowdhury,2023-06-10T12:38:32.000Z,"""God, forgive Mr #SamAltman for he doesn't know not what he's saying.""

As a proud Indian, 1st) We don't need #ChatGPT. Our brains, hard work, perseverance & R&D can do better than it! 

2nd) If our #startup founders want, they can develop much more efficient tool than #ChatGPT4.",0,1,0
Dils,2023-06-10T12:00:08.000Z,"Shorter subject lines are better for email open rates... it's plain and simple

LONG 
- Grow your Twitter with these ChatGPT prompts  [31% OR]
- Everything you need to know about GPT4 [34%]

SHORT
- Finish work early (with AI) [50.8%]
- Best AI tool for investing [56.4%]",0,0,0
Raj,2023-06-10T11:13:43.000Z,The first thing you need to work on AI is to have good infra set up. Most of the TechM guys work on age old laptops and desktops. Anything better you need goes through a long hoops of approval chains. And CP thinks he can beat Open AI. May be he is asking chat GPT ideas!,0,0,1
Adi Bhau,2023-06-10T09:47:35.000Z,Also american IT industry is nothing without Indians. They will develop a better AI bot than chatGPT and the work has already begun.  Also remember a bot cannot replace human work.,0,0,0
Woojin Kim,2023-06-09T14:42:03.000Z,"Understanding #GPT tokenizers 

#LLMs work in terms of tokens. Playing around with these tokens is an interesting way to get a better idea for how this stuff actually works under the hood. 

https://buff.ly/3WYTtb1
#GenAI #GenerativeAI #ChatGPT #GPT4",0,1,0
AI Fast Track | 10x your work productivity,2023-06-09T14:01:02.000Z,"Link Reader - Better than ChatGPT built in browsing function!

Tired of slow and buggy built-in browsing? I've been there! But guess what? I've discovered the Link Reader plugin - it's quicker and doesn't keep throwing errors. Have you given it a shot yet?",1,1,0
Vi,2023-06-09T12:35:50.000Z,"I dont believe in that kind of BS. 
Push back by only words is just hot air.

You would be here and so would I to see how Indians would better ChatGPT in less than a decade.Personally know some crazy work people are doing in this area.(Also would like to add GoI is also involved)",0,0,2
Sefy Tofan,2023-06-09T11:57:17.000Z,"The second prompt will work much better.. 

Here is a quick breakdown of Why it will work better.""

Because we provided:
1. Who will use the text (Content Writer).
2. How he will use it (Write posts).
3. Where is it going to be used (Twitter).

This context is perfect for ChatGPT",1,0,0
Web3吐槽姬,2023-06-09T08:38:11.000Z,Thanks for sharing this useful tutorial! It's great to have a better understanding of what's happening with our transactions on #MetaDock. Keep up the good work! #ChatGPT,0,0,2
Chitresh Deshpande,2023-06-09T03:49:15.000Z,"Was talking to my cousin who used to work at AWS; BI might generate better margins for vendors because of ChatGPT. They don't need to provide professional services ( two edge sword - i get it ), but adoption becomes much easier.",0,0,1
Anil Kalaga,2023-06-09T02:42:44.000Z,"@amitmalviya
 @Tejasvi_Surya
 
Ab lag jao bhai....aaaj kaa taaaza khabar! 
Some work for the day for both of you.....choose some better criticisms....now AI/ML has started understanding  your tweets....ChatGPT will put a Tweet on your behalf. :LoL",0,0,0
EK1,2023-06-08T20:55:43.000Z,You haven’t said 1 logical thing the whole time. ChatGPT cannot do the work it can give the creative start. It’s literally listed peoples wants and what would make the game better. Not hard to understand that,0,0,0
That Data Quality Guy,2023-06-08T18:31:36.000Z,Data Quality is so important for AI to work effectively. Clean & reliable data is the backbone for training powerful #AI models and helping them make better decisions. #Data Quality #AI #DataScience #ArtificialIntelligence #cheatlayer #chatgpt,0,0,0
Pai En Yu,2023-06-08T17:21:27.000Z,In the very first meeting about how city govt can use AI and Chatgpt so we can work better. Pretty cool the City of Boston has some protocols and training. Always eager to learn some new tricks.,0,0,1
Developer Harsh,2023-06-08T16:13:54.000Z,"Attended one of events today - Research based, they say India has the computational resources, capacity and intelligence to build leading edgi AI techs. 

Better hope for best. 

I see we are not allowing kids to use chatgpt for work, that could be our worst calls",0,0,3
Joan Yurman - Sr. Contract Recruiter,2023-06-08T16:11:26.000Z,"Be careful! If it is too good to be true, it is likely a scam. 

Better Business Bureau warns of recent spike in employment scams

https://cbsnews.com/pittsburgh/news/better-business-bureau-spike-employment-scams/… via 
@KDKA
 

#job #business #tech #jobseeker #employment #scam #AI #finance #ChatGPT #work #internship #freelancer #jobsearch",0,1,2
"Q, chatGPT for Slack",2023-06-08T07:40:12.000Z,"5/5 While the AI is not perfect, it's pretty good at answering questions from the manual. Work on how you ask questions and the quality of PDFs for better results.  

Excited? Try 'Q, ChatGPT for Slack' now at https://q-bot.suchica.com #AI #LangChain #GPT4",1,0,0
Ashwin,2023-06-08T04:30:20.000Z,This shows a complete lack of understanding about how LLMs work. ChatGPT will have better knowledge than the experiences of any one particular human being especially for publicly available information such as a travel itinerary.,1,0,0
Ayman Itani,2023-06-08T02:20:00.000Z,"Gn Crypto Twitter

Is ChatGPT the center of your work day or not yet?

The Nas Summit conference for worldwide content creators which is taking place in Dubai, revolves around the use of ChatGPT to create better content.",1,0,3
Adam Cooper,2023-06-07T14:03:25.000Z,"I’ve had an idea for a better world.

AI systems like ChatGPT, Bard, smart speakers etc. should only work if we use manners when asking them something.

It would instantly make humans friendlier.

‘Manners Mode’ should be default. Removing it should be a paid add on. 
@google
… Show more",0,0,0
Kevin Allen,2023-06-07T13:48:23.000Z,"https://turnitin.com

I find it very interesting that there are already anti-AI tools available for educators, which both help students write better but also detect when AI tools like ChatGPT are being used to circumvent the work.",0,1,1
The Times Of India,2023-06-07T13:19:42.000Z,"@sama
 replies that other than AI, if you can do one thing that can help make the world better is help create cheap energy. If we can get nuclear fusion to work, it will be pretty good

#OpenAI #AI #ChatGPT #ArtificialIntelligence   

https://timesofindia.indiatimes.com/business/india-business/et-conversations-with-openai-ceo-sam-altman/liveblog/100822923.cms…",2,1,5
Applied AI Guy,2023-06-07T13:13:00.000Z,"A huge mindset shift that has occurred for me since the drop of ChatGPT is that humans are essentially organic general intelligence (OGI). 

Just like any system, there are best practices on using it. For example, mixing rest with deep work leads to better progress.",0,0,0
Crystal,2023-06-07T11:46:31.000Z,"I am not a coder & wrote simple stuff which worked in Python. Just kept feeding the errors back into chatgpt (better compared to Bard? ) until it worked. Easy peasy. It explained what specific parts meant too. Maybe I can work as a dev for a year or 2, till time catches up ",0,0,1
ThisAintSuperman,2023-06-07T11:10:09.000Z,Charlie Brooker explains he doesn’t know how to use ChatGPT is a better title for this. You can’t ask him to do everything for you and you still need to put up some work explaining to it what’s good and what should be changed and how to improve,0,0,0
Colin,2023-06-07T09:42:33.000Z,"Creating a new internal tool for my team to work with ChatGPT better.

1) Pick your template
2) Fill in the variables
3) Copy and paste the prompt into ChatGPT",1,0,3
Matt Warcholinski,2023-06-06T12:32:15.000Z,"What have I learned about delegating work from ChatGPT?

1/ Great prompt = Better outcome:
The more detailed and clear your task is defined, the closer the results will be to your expectations. We often spend too little time on clearly communicating our expectations.",2,0,1
Aagreet Sinha,2023-06-06T10:43:00.000Z,"Wearing Vision Pro 24/7 isn't always practical, but if it's integrated like Jarvis in Iron Man, that's a better use case. 

Vision Pro + ChatGPT AI as a central system in your house, with a portable device for remote work. ",0,0,7
Astute Innovations Ltd,2023-06-06T09:08:15.000Z,"How you can get in better shape.

This video shows you tips on creating a custom diet plan, work out programme & even your shopping list using  #AI tools including #ChatGPT.

This is removing heavy lifting for businesses, just think how this will help yours with #creativity",0,0,1
Cyril Haessig,2023-06-06T08:26:41.000Z,It is a bit of a learning curve for teachers but with practice you can spot how Chat GPT structures the narrative it generates. Tricky though. Better to work with pupils and teach them how to effectively use AI in a controlled and ethical way.,1,0,0
christian shockley,2023-06-06T02:28:13.000Z,I’d be curious to know if GPT4 does any better? I use ChatGPT a ton for work and it saves a lot of time. But the prompting has to be SO specific.,1,0,0
Azure,2023-06-06T00:43:55.000Z,"Thank you for your support and kind words! I am glad to hear that you value the approach. It's critical to understand the limitations of tools like ChatGPT, and I am eager to collaborate on this plugin to make it even better. Let's keep up the good work!",0,1,1
Nauman,2023-06-05T23:30:19.000Z,"Try these amazing AI tools that can help take your skills to the next level. 

They may be better than ChatGPT in certain areas.

Explore them and see how they can make a difference in your work or projects.

#AI #MachineLearning #NLP #OpenSource",1,0,1
Butlerian Jihad Fan,2023-06-05T23:10:37.000Z,"ChatGPT has already been fed troves of data, including bogus cases. You would have to train an entire new model solely using real cases. Or better yet you could just actually do the work",0,0,0
Vikram,2023-06-05T19:59:58.000Z,"I really tried hard to see if an open source model could do Wiki article summaries well. Did not work. ChatGPT is miles better. Kudo to 
@huggingface
 for making it available through API though.",0,0,1
Ibored,2023-06-05T17:39:08.000Z,"I'm bad at math so I asked chatgpt on how long it would take to make my animation... 24HOURS??? ARE YOU KIDDING ME?!?

Well, I guess I better start work on it otherwise it'll take forever since I still need to edit it afterwards",1,0,1
Sachin Kishan,2023-06-05T12:41:21.000Z,"#ChatGPT is useful as a ""getting started"" tool when you wanna work on a problem. But once the math gets more involved and there's a lot more dots to connect- it's a lot better to avoid the prompting work and just do the math and code yourself.",0,0,2
♡ LOES |,2023-06-05T12:40:48.000Z,"I took a sneak peek at chatgpt for social media posts at work and wow, it comes up with better captions than we can lol",0,0,4
Canadian FI Bull,2023-06-05T12:04:33.000Z,"I’m applying for a new job, which will increase my 9-5 comp by about 20k a year out of the gate, and 40-50k after 4 years. 

It will also give me more free time to pursue hobby work, and has a pension. 

ChatGPT just wrote my cover letter, better that I could have. AI is here.",0,0,0
Lee Launches,2023-06-04T19:19:34.000Z,"Reduced the time to create The Work Flows newsletter to around 30 mins with 4 different chatGPT chats.

Now just need a better way to run these each week...

How do you use ChatGPT to create your own newsletter?",1,0,1
Aladdin Kumar,2023-06-04T16:47:41.000Z,"I think the reason chatGPT is bad at math is because its training set has too much ""new math"" nonsense. 

(I do think teaching the ""why"" of math, theory, has value, but its so poorly done at a young age stuff like multiplication tables work better)",1,0,2
Light (Radical Reaper Arc),2023-06-04T15:49:39.000Z,"My free to access work (all of it) has literally no views except by my aunt and mother. I literally can’t give away my writing. It’s gotta be better than fucking ChatGPT. So just in case someone wants to take a look, link is in bio. Also to Patreon with no subscription.",1,0,0
Travis,2023-06-04T15:21:28.000Z,I just opened my project in VS code temporarily to test it out. It didn’t seem to work as well as when I pasted my pages of code into Chat GPT-4 directly. I got much better insights that way.,0,0,1
Benedict Evans,2023-06-04T14:07:20.000Z,"chatGPT is a bundle of a chatbot with an LLM, and there might be better interfaces where the prompt itself will gets replaced by GUI, with much more narrow, vertical and focused inputs, and you don’t ask the human to do all the work of setting up the job in their head",11,9,112
Nick Dobos,2023-06-04T09:00:00.000Z,"Have seen multiple experienced devs arguing ""chatGPT won't replace devs, most coding work isn't writing code""

You honestly think an hour long meeting w/10 people at $200k+/yr ea will come up with a better product, design & implementation plan, faster & cheaper than Ai?

ok LOL",116,44,645
Jane Rosenzweig,2023-06-04T01:51:32.000Z,"2)The examples in this article challenge the narrative that ChatGPT will make us all more productive and make all our work better; it's just as likely to make the work worse. This, 
@ubiquity75
:“We have to ask: Is a facsimile good enough? Is imitation good enough?",3,26,111
John Mehaffey,2023-06-03T22:49:54.000Z,"I'm having fun testing ChatGPT's knowledge of Las Vegas. It gets nearly everything wrong, but this is my favorite. While I was in the poker industry years ago, I've never covered an event. However, that nonexistent work is apparently better than my Las Vegas casino work.",2,0,14
Victoria Lopez,2023-06-03T07:21:31.000Z,"For now ChatGPT is a good tool for mediocre people,  the bigger number  of mediocre people, the more popularity.  Big professionals do a better work in less time,  Just focus!  otherwise one can lose own skills",0,0,0
Calliope Ryder,2023-06-02T22:01:11.000Z,"Mine are fairly boring — workout plans (chatgpt seems to be best at that) grocery lists to match the weekly meal plan i get it to generate (bard is better for this bc provides web links), name generation etc. A little for work too.

Keen to hack my adhd! share your sekrits ",2,2,8
joebrock3,2023-06-02T04:58:10.000Z,"6/2/2023: Maybe ChatGPT + Elixir + React Native would be the best fit? After all, now that my parameters have changed, it's likely better to change my current project to focus foundationally on that. Not to say that Java can't work, but that it will play a different role.",2,0,0
HAPPY,2023-06-02T02:47:10.000Z,"I have some language related needs for day to day work and ChatGPT do it better than any human I know personally 

My needs are basic but this is what I will ever need really 

I am so excited about future of humanity on the positive side ",0,0,1
Mysson (ChatGPT API Blogging),2023-06-01T23:43:42.000Z,"2) Reverse Mad Libs: 

Instead of you being the one to fill in the blanks, let ChatGPT do the work! 

Provide it with a story that has missing parts and instruct it to complete them in the most ridiculous way possible. 

The sillier, the better!",1,0,0
Luperci,2023-06-01T20:03:15.000Z,Grammarly is so retarded. It makes the worst suggestions and then clutters up the screen with that dumb green shit. Chat-gpt-like replacement can work better but f'ing Grammarly hasn't adopted anything at that scale yet.,0,0,0
Dr Sly (@drsylvainpronovost@sigmoid.social),2023-06-01T18:09:55.000Z,"I'm sure some wise folks out there thought this out better than I did this morning over coffee, but hear me out: if some AI people think evil AGI is an inevitable byproduct of their work... why not just stop everything? Close OpenAI? Shut ChatGPT right now? Google Brain? MILA?",2,0,1
Vincent Mtenga,2023-06-01T15:52:41.000Z,"My work for today is heavily reliant on this book  Good buy … but ChatGPT is better at writing scripts … just saying.

#indieHacker #buildinpublic",2,0,4
Delaney McGuire,2023-06-01T15:04:02.000Z,"#ChatGPT is not the same as it used to be.

There are now many better Google Chrome AI extensions that can save you hundreds of hours of work.

Here are four of the best:

#productivity #ai #tools #ArtificialIntelligence #aitools",1,0,0
Harvey,2023-06-01T14:42:50.000Z,"Coding going really well. Just me or does chatGPT work better using a MSFT account to sign in. Discord bots are a lot more straightforward than slack, too. Nice bot reports implied high and low for a few hundred tickers using fixed strike vol. Not bad. NVDA implied high 394.25",3,1,3
"Pico Paco, e/λ",2023-06-01T06:33:09.000Z,"i have a convo with chatgpt from a week ago whether i should work on new features or improve existing ones. 

it gave me an “it depends” consultant type answer.

i think your comment is waay better. and rings true. do one thing right",0,0,0
Didier,2023-06-01T08:02:53.000Z,"Talking to chatGPT again. Fantastic tool but…
Know what the code is doing! Had to ask few questions to correct the first code it threw at me. Built with V3.5, maybe with V4.0 it would have done better. Definitely a tool I will adopt to improve my work flow… ",0,0,0
A. Harikumar,2023-05-31T08:19:11.000Z,AI driven applications like #ChatGPT have adversely impacted the livelihood of small time #Content writers A content writer from #Mumbai told me that content writers now don't get businesses like preparing a resume where AI gives better template. Sector specific work  unaffected,0,1,3
Alex Gomachab,2023-05-31T07:46:48.000Z,"ChatGPT must do better, lecturers have caught on, I know of a few students who used it & ended up with 0% with a comment - work required without assistance of AI",1,0,0
Ivan,2023-05-31T07:21:18.000Z,"'I've noticed too that recently [ChatGPT] has become very ""cagey"", qualifying everything to death with ""As an AI model..."".' https://news.ycombinator.com/item?id=36134831… / ""I'm noticing it seems to work better on off-hours - I get better quality responses late at night"" https://news.ycombinator.com/item?id=35906870#35930036…",1,0,0
Iquey,2023-05-31T06:49:38.000Z,"Like I'm assuming other students would be pissed when they find out someone is cheating, vs. doing the work to write papers yourself like you're supposed to. I just hope not too many are becoming cynical and just trying to get better at using chatGPT to cheat without detection.",0,0,0
Navin Kabra,2023-05-31T05:02:49.000Z,Why ChatGPT and other LLMs do better when you ask them to check their own work,0,0,1
Andre Henriques,2023-05-31T02:57:10.000Z,"Hey 
@DTWillingham
! Love your work! Just a quick note on your latest post: (1) there's a big difference between Chat GPT-3.5 and GPT-4 outputs; (2) refining your prompts can get you better answers from GPT. Keep up the great work!",0,0,0
Andrew Morris,2023-05-31T00:16:30.000Z,they should make chatgpt work better when you’re polite to it,9,4,44
TURN OFF / TUNE IN / LOG OUT,2023-05-30T21:58:54.000Z,"As an independent creative, I am committed to only using work from human artists, writers,  illustrators, sound engineers, session musicians. 

Creators: We can create OUR OWN ecosystem, supporting one another with jobs. Our art will be better for it. 

#AI 
#ChatGPT 
#noaiart",1,0,2
Alessandro,2023-05-30T20:55:37.000Z,"Hard pill to swallow:

ChatGPT writes better copy than 80% of ""copywriters""

You need to work harder than ever if you want to stand out nowadays",2,0,0
Aaron Parsons,2023-05-30T19:05:15.000Z,"ChatGPT can create little snippets of useful code, but it's better to learn how functions, variables, arrays, and objects all work together before using AI as an assistant.",1,0,1
